,Location,onset_figs,heading,flower_beg,flower_end,grain_fill_beg,grain_fill_end,Longitude,Latitude,Country
1,AFG03-2:1,306,118,122,126,132,147,69.5373,36.7266,AFG
2,AFG03-3:3,307,120,123,127,133,148,69.4347,36.8388,AFG
3,AFG03-3:30,311,112,116,119,126,140,69.512,37.1185,AFG
4,AFG03-3:37,298,143,147,151,157,171,69.7703,37.0747,AFG
5,AFG03-4:1,316,116,119,123,129,143,68.857,36.724,AFG
6,AFG03-4:12,329,118,122,125,131,144,68.1848,36.9705,AFG
7,AFG03-4:32,313,117,121,124,131,145,68.9621,36.5268,AFG
8,AFG03-4:34,314,116,119,123,129,143,68.93,36.48,AFG
9,AFG03-4:40,312,117,121,124,131,145,69.1448,36.8797,AFG
10,AFG03-4:44,312,112,116,119,126,140,69.48,37.07,AFG
11,AFG03-5:1,316,118,121,124,131,145,68.8131,36.2299,AFG
12,AFG03-5:10,316,117,121,124,130,144,68.7764,36.1872,AFG
13,AFG03-5:13,316,128,132,135,141,155,68.4968,35.8754,AFG
14,AFG03-5:14,319,123,127,130,136,150,68.5205,35.8854,AFG
15,AFG03-5:19,316,119,123,126,132,146,68.831,36.1878,AFG
16,AFG03-5:2,314,117,121,124,131,144,68.8306,36.2359,AFG
17,AFG03-5:20,315,118,121,125,131,145,68.8175,36.1722,AFG
18,AFG03-5:23,312,125,129,132,139,153,68.84,36.11,AFG
19,AFG03-5:24,302,137,141,144,151,165,69.2343,36.4233,AFG
20,AFG03-5:32,305,129,133,136,143,158,69.1293,36.0761,AFG
21,AFG03-5:45,302,142,146,150,156,170,69.2492,36.0311,AFG
22,AFG03-5:7,316,118,122,125,132,146,68.7953,36.1607,AFG
23,AFG03-6:14,300,117,121,125,132,147,70.1581,37.0593,AFG
24,AFG03-6:15,304,120,124,128,135,150,70.0793,36.8242,AFG
25,AFG03-6:18,303,124,128,132,139,154,70.1307,36.8046,AFG
26,AFG03-6:23,302,133,137,140,147,162,70.1938,36.6778,AFG
27,AFG03-6:24,304,119,123,127,134,149,70.0757,36.8407,AFG
28,AFG03-6:26,302,120,124,127,134,150,70.1333,36.9667,AFG
29,AFG03-6:28,298,131,134,138,145,160,70.217,36.9267,AFG
30,AFG03-6:2c,298,144,148,151,158,172,70.6175,37.0564,AFG
31,AFG03-6:30,299,138,142,145,152,167,70.2744,36.8889,AFG
32,AFG03-6:34,298,146,149,153,160,174,70.3069,36.9625,AFG
33,AFG03-6:39,302,143,146,150,156,170,70.8385,36.8552,AFG
34,AFG03-6:41,302,144,148,151,158,172,70.8375,36.8793,AFG
35,AFG03-6:43b,303,142,146,149,156,170,70.8572,36.8897,AFG
36,AFG03-6:46,303,144,147,151,157,171,70.8508,36.8203,AFG
37,AFG03-6:50,302,141,144,148,155,169,70.8628,36.9695,AFG
38,AFG03-6:52,303,141,145,149,155,169,70.8593,36.9665,AFG
39,AFG03-6:55,303,142,146,149,156,170,70.8722,36.9983,AFG
40,AFG03-6:63,301,149,153,156,163,177,70.91,37,AFG
41,AFG03-6:78,303,142,145,149,155,169,70.8433,36.8744,AFG
42,AFG03-6:8,300,126,130,134,141,156,70.5064,37.1741,AFG
43,AFG03-6:9,298,123,127,130,138,153,70.4627,37.213,AFG
44,AFG04-2:60,313,115,119,122,129,143,69.1066,36.684,AFG
45,AFG24::12,118,223,227,231,240,272,67.65,34.9333,AFG
46,AFG24::14,122,228,233,237,249,98,67.1667,34.65,AFG
47,AFG24::15,131,239,244,251,268,143,67.5,34.9167,AFG
48,AFG24::19,338,118,121,125,131,146,62.1333,33.3,AFG
49,AFG24::26,312,149,153,156,162,176,69.4167,34.5,AFG
50,AFG24::260,305,173,176,179,186,200,67.8,35.4,AFG
51,AFG24::270,299,171,175,178,185,199,67.965,35.8833,AFG
52,AFG24::29,297,166,170,173,180,195,70.15,35.3333,AFG
53,AFG24::32,295,194,198,201,208,226,68.4833,34.9333,AFG
54,AFG24::324,331,116,120,123,129,143,65.1,36.9167,AFG
55,AFG24::326,332,112,116,119,125,139,66.15,36.9167,AFG
56,AFG24::34,306,119,122,126,133,148,69.55,36.7333,AFG
57,AFG24::35,303,172,175,179,185,200,68.7833,34.45,AFG
58,AFG24::350,320,124,127,131,137,152,64.8333,36.0333,AFG
59,AFG24::356,307,127,131,134,141,156,69.1167,36.05,AFG
60,AFG24::357,314,141,145,148,155,169,64.3333,35.75,AFG
61,AFG24::362,117,220,225,229,238,265,68.3,34.4167,AFG
62,AFG24::366,303,178,182,185,192,208,64.2833,34.1,AFG
63,AFG24::368,139,155,164,173,187,214,70.8667,35.9667,AFG
64,AFG24::369,294,194,198,201,208,226,68.1167,34.8667,AFG
65,AFG24::374,301,192,195,199,206,223,67.95,34.8167,AFG
66,AFG24::375,116,227,231,236,246,282,71.3667,36.5667,AFG
67,AFG24::376,102,204,207,211,218,236,67.95,34.4167,AFG
68,AFG24::4,296,176,179,183,189,204,70.5167,36.8333,AFG
69,AFG24::40,134,231,236,240,251,293,71.1833,36.2833,AFG
70,AFG24::45,311,132,135,139,146,161,69.3,35.1167,AFG
71,AFG24::6,149,279,128,142,161,191,71.191,36.323,AFG
72,AFG24::7,312,162,166,169,175,190,62.9167,34.6833,AFG
73,AFG37::11,330,114,118,121,127,141,65.75,36.6833,AFG
74,AFG37::12,315,149,153,156,162,176,69.2,34.5167,AFG
75,AFG37::13,301,136,139,143,150,164,69.5,36.481,AFG
76,AFG37::14,309,131,135,139,146,161,70.07,34.9361,AFG
77,AFG37::16,333,90,93,97,104,119,70.2833,34.5167,AFG
78,AFG37::17,320,174,177,180,187,202,69.1167,33.6167,AFG
79,AFG37::18,320,160,163,166,172,186,68.8667,33.3667,AFG
80,AFG37::20,306,167,171,174,180,195,68.8167,34.4,AFG
81,AFG37::6,336,94,97,101,107,122,62.1167,32.3667,AFG
82,AFG37::7,328,172,176,179,185,199,66.9,32.1,AFG
83,AFG39-2::2,298,186,189,193,200,216,65.6167,35.7167,AFG
84,AFG39-2::4,333,113,116,119,125,139,66.1833,36.9167,AFG
85,AFG39::1,315,150,153,156,162,176,69.1833,34.5167,AFG
86,AFG39::12,303,178,181,185,192,207,64.3,34.1,AFG
87,AFG39::13,325,130,134,137,144,157,63.8833,35.6833,AFG
88,AFG39::17,299,161,164,167,173,188,67.9,35.3167,AFG
89,AFG39::2,302,182,185,188,195,210,67.5,35.3333,AFG
90,AFG39::3,315,134,137,141,148,162,67.2833,35.9,AFG
91,AFG39::5,310,153,157,160,166,181,63.7833,34.8,AFG
92,AFG39::6,299,177,181,184,191,206,67.6667,36,AFG
93,AFG39::9,304,183,187,190,197,213,65.15,34.55,AFG
94,AFG65::10,315,121,125,128,135,149,68.7667,35.8833,AFG
95,AFG65::11,120,227,231,236,246,296,66.85,34.3833,AFG
96,AFG65::12,118,221,225,229,238,268,67.091,34.765,AFG
97,AFG65::1346,307,160,163,166,173,188,63.7,34.7667,AFG
98,AFG65::14,109,217,221,226,234,261,66.9833,34.45,AFG
99,AFG65::15,302,182,185,189,196,212,64.2,34.1167,AFG
100,AFG65::16,103,205,209,213,220,239,66.0667,34.45,AFG
101,AFG65::18,109,211,214,218,227,248,64.9,34.2667,AFG
102,AFG65::20,301,187,190,194,201,218,64.1667,34.1,AFG
103,AFG65::21,102,204,208,211,219,237,65.8167,34.5,AFG
104,AFG65::23,100,202,205,209,217,235,65.75,34.6333,AFG
105,AFG65::25,307,178,182,185,192,207,65.1158,34.498,AFG
106,AFG65::26,114,216,220,224,233,258,66.55,34.3667,AFG
107,AFG65::30,325,137,140,144,150,164,63.15,34.3667,AFG
108,AFG65::31,313,155,158,161,168,182,63.7,34.35,AFG
109,AFG65::33,329,138,141,145,151,165,62.25,33.7667,AFG
110,AFG65::36,329,126,129,133,139,154,62.45,34.35,AFG
111,AFG65::38,316,115,119,122,128,142,68.85,36.75,AFG
112,AFG65::4,328,129,133,136,142,156,62.2667,34.9833,AFG
113,AFG65::40,324,164,167,170,177,191,69.1167,33.5333,AFG
114,AFG65::41,303,162,165,168,175,189,68.7333,34.9833,AFG
115,AFG65::42,314,140,143,147,153,166,67.8667,36.25,AFG
116,AFG65::43,314,142,146,149,155,168,67.9333,36.2167,AFG
117,AFG65::45,306,119,123,127,133,148,69.5833,36.7167,AFG
118,AFG65::46,296,178,182,185,192,207,69.824,36.456,AFG
119,AFG65::5,323,138,141,145,151,165,63.0833,34.8667,AFG
120,AFG65::6,325,131,134,138,144,158,63.1833,34.9667,AFG
121,AFG65::9,318,120,124,127,133,147,68.7333,35.9167,AFG
122,AFG65:50,329,141,145,148,154,168,62.2361,33.7889,AFG
123,AFG65:56,333,124,127,131,138,152,62.27,33.46,AFG
124,ARM-S107,273,144,149,153,161,177,46.4167,39.15,ARM
125,ARM-S111,298,149,153,156,162,176,44.7,39.9,ARM
126,ARM-S277,295,149,152,156,162,176,44.5,40.05,ARM
127,ARM-S310,306,171,174,178,185,201,45.0652,41.1191,ARM
128,ARM-S99,267,168,172,176,184,201,46.2333,39.3667,ARM
129,ARM03:19,289,156,160,163,170,185,44.8542,39.8956,ARM
130,ARM04-2:50,253,149,154,158,167,185,46.4383,39.5036,ARM
131,ARM04-2:52,261,162,166,170,178,196,46.3267,39.4658,ARM
132,ARM04-2:58,268,170,174,178,186,203,46.1219,39.4975,ARM
133,ARM04-2:65,273,175,179,183,191,208,46.01,39.485,ARM
134,ARM04-2:66,272,183,187,191,198,216,45.9828,39.4697,ARM
135,ARM05:10,306,143,147,150,157,172,45.2388,40.9974,ARM
136,ARM05:13,271,130,134,139,147,164,45.3563,40.9362,ARM
137,ARM05:43,272,170,174,178,186,202,46.0156,39.5033,ARM
138,ARM05:54,261,172,177,181,189,207,46.3064,39.535,ARM
139,ARM05:57,250,130,135,141,150,169,46.4581,39.5089,ARM
140,ARM05:58,253,125,131,136,145,164,46.4986,39.4889,ARM
141,ARM05:61,264,137,142,146,155,172,46.4622,39.2875,ARM
142,ARM05:69,269,134,139,143,151,169,46.4842,39.2433,ARM
143,ARM05:8,269,127,132,136,145,162,45.1439,40.8808,ARM
144,ARM25::48,256,147,152,156,165,183,44.8667,40.7333,ARM
145,ARM25::50,256,146,150,155,163,182,45.0833,40.7167,ARM
146,ARM25::62,272,166,170,174,181,197,44.6167,40.4167,ARM
147,ARM99:15,287,159,163,167,174,189,45.2883,39.7697,ARM
148,ARM99:2,288,154,158,161,168,183,44.5844,40.1464,ARM
149,ARM99:28,296,158,161,165,171,186,45.1808,39.7322,ARM
150,ARM99:37,270,181,185,189,197,214,45.9706,39.46,ARM
151,AUT-S154,107,219,223,228,237,264,11.9333,47.4,AUT
152,AUT-S155,108,215,219,224,232,256,10.0167,46.9833,AUT
153,AUT-S156,105,219,223,228,237,264,11.4833,47.0333,AUT
154,AUT-S157,106,213,218,222,231,254,11.2167,47.2167,AUT
155,AUT-S159,118,228,232,237,248,284,13.1667,46.9833,AUT
156,AUT-S161,196,283,291,301,80,125,12.8,47.0667,AUT
157,AUT-S162,112,228,233,238,250,288,13.6,47.0167,AUT
158,AUT-S164,119,248,255,263,283,144,13.5167,47.15,AUT
159,AUT-S165,108,224,229,234,244,277,13.3167,47.35,AUT
160,AUT-S166,107,211,215,219,227,248,12.8833,46.8667,AUT
161,AUT-S168,113,227,232,237,248,283,10.6167,47.05,AUT
162,AUT-S174,100,206,210,214,222,242,14.9667,47.3333,AUT
163,AUT-S183,100,208,212,216,225,245,15.1667,48.5,AUT
164,AUT-S184,107,218,222,227,236,262,15.1667,47.2333,AUT
165,AUT-S195,100,209,214,218,226,247,14.7667,48.45,AUT
166,AUT-S198,113,225,230,235,245,278,13.65,47.1,AUT
167,AUT-S20,140,238,243,249,262,312,10.8833,47.2667,AUT
168,AUT-S217,110,213,218,222,230,253,14.1833,46.8667,AUT
169,AUT-S227,117,231,236,241,253,294,14,47.5,AUT
170,AUT-S98,100,210,214,219,227,249,10.8833,47.4,AUT
171,AZE-S584,285,119,124,128,136,153,46.3667,40.6667,AZE
172,AZE-S586,292,122,126,131,139,156,49.9833,40.3667,AZE
173,AZE-S632,294,119,124,128,136,153,49.8333,40.4167,AZE
174,AZE-S78,112,193,196,199,206,220,48.6167,41.15,AZE
175,AZE-S81,112,197,200,203,210,225,48.1333,41.4667,AZE
176,AZE-S83,112,189,192,195,201,215,48.3667,38.9667,AZE
177,AZE::2,261,110,115,121,130,150,46.75,39.8167,AZE
178,AZE::36,112,196,200,203,210,226,48.4167,38.7667,AZE
179,AZE::6,295,118,123,127,135,152,50.0167,40.4833,AZE
180,AZE01:10,289,107,112,116,125,141,47.2978,39.9861,AZE
181,AZE01:25,247,45,65,78,95,122,48.3611,39.0411,AZE
182,AZE01:32,264,134,139,143,152,169,48.8944,40.5347,AZE
183,AZE01:37,112,205,208,212,219,236,45.7517,40.765,AZE
184,AZE01:49,112,181,184,187,192,205,45.9483,41.0875,AZE
185,AZE01:54,260,155,159,163,172,190,45.57,40.61,AZE
186,AZE01:55,289,125,130,134,141,157,45.5811,41.0353,AZE
187,AZE04:27,269,71,80,87,100,122,48.5224,39.3022,AZE
188,AZE04:46,282,129,133,137,145,161,45.3851,41.031,AZE
189,AZE26::121,249,67,80,89,104,129,48.3667,39.1,AZE
190,AZE26::140,253,109,115,121,131,152,47,39.75,AZE
191,AZE26::145,251,106,113,119,129,150,46.8,39.95,AZE
192,AZE26::162,281,97,103,108,117,135,47.3333,39.4833,AZE
193,AZE26::32,306,143,147,150,157,170,45.7167,38.9833,AZE
194,AZE26::69,282,98,103,108,117,136,47.2278,39.3556,AZE
195,AZE26::72,281,98,104,109,118,136,47.4,39.5,AZE
196,BALK41::1,289,121,126,131,140,159,20.0667,41.4667,BAL
197,BALK41::10,245,333,340,349,5,59,20.45,39.8833,BAL
198,BALK41::11,243,77,88,98,114,141,21.1167,39.7833,BAL
199,BALK41::12,245,9,32,51,75,111,20.9333,39.9667,BAL
200,BALK41::13,256,8,24,38,61,97,21.2833,39.3667,BAL
201,BALK41::14,266,4,15,27,47,80,21.9189,39.3697,BAL
202,BALK41::15,259,6,19,32,54,91,21.4483,39.0686,BAL
203,BALK41::16,241,100,109,117,131,156,21.6667,39.2667,BAL
204,BALK41::17,268,19,30,41,59,90,22.4,39.6333,BAL
205,BALK41::18,269,32,43,54,71,101,23.1833,39.3167,BAL
206,BALK41::2,289,155,159,163,171,188,20.0139,41.4306,BAL
207,BALK41::22,252,50,64,76,94,124,21.4972,39.1881,BAL
208,BALK41::23,246,354,3,20,51,95,20.7333,39.8,BAL
209,BALK41::24,263,60,69,78,92,118,21.8,39.9833,BAL
210,BALK41::26,289,104,110,115,124,144,19.5167,42.2833,BAL
211,BALK41::27,255,69,79,87,101,126,21.7,40.5333,BAL
212,BALK41::28,268,20,31,42,60,92,22.7167,39.3833,BAL
213,BALK41::30,275,76,83,89,100,121,23.2167,41.25,BAL
214,BALK41::31,289,107,112,117,126,145,20.4333,42.0833,BAL
215,BALK41::32,259,69,78,85,98,121,21.4667,42.0167,BAL
216,BALK41::33,237,46,66,78,95,122,21.1667,42.6667,BAL
217,BALK41::34,241,47,66,79,99,130,20.8333,39.9,BAL
218,BALK41::35,289,114,119,124,133,151,20.3333,41.9,BAL
219,BALK41::37,241,77,89,99,115,143,21.1833,39.7667,BAL
220,BALK41::38,253,121,128,134,145,167,21.5833,39.3667,BAL
221,BALK41::39,264,65,73,81,94,118,22.0833,40.85,BAL
222,BALK41::4,289,137,142,147,156,173,20.6389,40.3,BAL
223,BALK41::41,269,10,20,31,50,83,22.8167,39.2833,BAL
224,BALK41::42,249,325,331,337,350,22,20.3,39.3667,BAL
225,BALK41::43,264,63,72,80,94,119,21.9167,40.25,BAL
226,BALK41::44,250,346,357,3,30,77,20.85,39.6667,BAL
227,BALK41::45,269,76,84,90,102,124,22.2,37.3333,BAL
228,BALK41::46,289,124,129,133,142,160,20.4167,41.8167,BAL
229,BALK41::47,244,358,10,30,61,102,20.7667,39.8667,BAL
230,BALK41::48,240,354,6,29,63,106,20.4167,40,BAL
231,BALK41::49,248,32,51,65,85,118,21.0667,39.7167,BAL
232,BALK41::5,289,72,79,85,97,120,20.1833,40.3167,BAL
233,BALK41::50,247,8,30,48,72,109,21,39.7833,BAL
234,BALK41::51,289,153,157,161,168,185,20.415,41.7833,BAL
235,BALK41::52,289,153,157,161,169,186,20.4667,41.8167,BAL
236,BALK41::53,255,332,337,344,357,29,20.75,39.0667,BAL
237,BALK41::54,289,133,137,141,149,166,20.5333,42.1667,BAL
238,BALK41::55,246,85,94,102,115,139,21.6167,40.7,BAL
239,BALK41::56,289,184,188,192,200,218,19.6311,42.4006,BAL
240,BALK41::58,245,348,361,11,44,90,20.75,39.7833,BAL
241,BALK41::59,289,120,125,130,139,157,20.3167,41.6667,BAL
242,BALK41::60,269,19,31,41,59,90,22.5333,39.6167,BAL
243,BALK41::61,248,331,338,345,363,45,20.5,39.6167,BAL
244,BALK41::7,260,341,348,355,6,45,21.2,38.8833,BAL
245,BALK41::8,289,58,65,72,85,110,19.95,39.9333,BAL
246,BALK41::9,280,9,16,23,37,68,23.9167,37.85,BAL
247,BALK42::1,268,2,10,19,37,73,22.05,37.7833,BAL
248,BALK42::10,274,362,4,11,26,59,23.3333,38,BAL
249,BALK42::100,266,94,103,110,124,149,22.2167,37.6167,BAL
250,BALK42::101,271,359,1,7,21,54,23.6333,35.3,BAL
251,BALK42::102,269,31,42,52,71,105,22.4,36.8333,BAL
252,BALK42::103,276,351,355,360,6,31,25.4667,35.2833,BAL
253,BALK42::104,270,3,11,19,35,71,22.3667,37.0667,BAL
254,BALK42::106,269,15,25,34,53,88,22.4333,36.9167,BAL
255,BALK42::107,269,15,24,34,53,88,22.4167,37.5333,BAL
256,BALK42::108,270,61,71,81,97,126,24.5167,35.3,BAL
257,BALK42::109,267,52,63,73,90,121,22.1667,37.6667,BAL
258,BALK42::11,266,19,30,41,61,94,22.45,38.75,BAL
259,BALK42::110,285,21,29,36,51,81,25.1667,37.0333,BAL
260,BALK42::111,269,17,26,36,55,90,22.4167,37.65,BAL
261,BALK42::112,269,347,352,358,5,34,22.1167,37.05,BAL
262,BALK42::13,270,365,8,16,32,67,22.6789,37.7336,BAL
263,BALK42::14,267,36,48,59,77,109,22.2833,37.7833,BAL
264,BALK42::143,273,363,5,12,26,59,22.85,36.8,BAL
265,BALK42::144,289,4,10,15,26,51,26.0881,35.2167,BAL
266,BALK42::15,289,4,10,15,26,51,26.0833,35.2167,BAL
267,BALK42::16,276,1,8,15,29,60,26.1472,35.0389,BAL
268,BALK42::17,280,358,363,4,15,41,25.9333,35.1667,BAL
269,BALK42::19,278,355,360,1,12,38,25.7167,35.15,BAL
270,BALK42::2,266,62,72,82,98,127,22.3833,37.8667,BAL
271,BALK42::20,273,350,355,361,7,35,23.9167,35.4333,BAL
272,BALK42::21,273,348,353,358,4,31,23.95,35.4667,BAL
273,BALK42::22,272,350,356,361,8,36,23.6833,35.4333,BAL
274,BALK42::23,289,6,11,17,28,54,24.5333,35.3667,BAL
275,BALK42::24,270,348,354,359,6,35,24.6111,35.3356,BAL
276,BALK42::25,272,351,356,362,9,38,23.6833,35.2417,BAL
277,BALK42::26,271,344,349,354,365,26,24.0917,34.85,BAL
278,BALK42::27,272,359,365,6,20,52,23.9417,35.4047,BAL
279,BALK42::28,270,1,8,17,33,68,22.6833,37.7333,BAL
280,BALK42::29,269,363,6,14,30,65,22.1333,37.4,BAL
281,BALK42::3,271,354,360,2,15,47,22.4833,37.0333,BAL
